acceptedTaxonKey,accepetedTaxonName,TropicosNameID,FullNameWithAuthors,taxonRank,id_name_APD,taxonid_IUCN,redlistCategory,redlistCriteria,yearPublished,EOO,AOO,elevation_upper,elevation_lower,assessmentDate,assessor,reviewer,populationTrend
1799,Cuviera calycosa,27912343,Cuviera calycosa Wernham,Species,88856,174411767,LC,NA,2021,388140,NA,1000,10,30/12/2020,"Paradis, A.-H. & StÈvart, T.","Hills, R.",Decreasing
1802,Cuviera cuvieroides,50335836,,Species,,,,,,,,,,,,,
1803,Cuviera letestui,50238920,,Species,88864,,,,,,,,,,,,
1804,Cuviera longiflora,27908921,Cuviera longiflora Hiern,Species,88865,,,,,,,,,,,,
1805,Cuviera physinodes,100174987,Cuviera physinodes K. Schum.,Species,183148,,,,,,,,,,,,
1806,Cuviera pierrei,50093559,Cuviera pierrei N. Hallé,Species,88871,,,,,,,,,,,,
1829,Cuviera subuliflora,27907042,Cuviera subuliflora Benth.,Species,88875,,,,,,,,,,,,
1836,Cylicodiscus gabunensis,13057203,Cylicodiscus gabunensis Harms,Species,70011,62021855,LC,NA,2019,1053387.76,164.00,450,0,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Oldfield, S.",Stable
1837,Cynometra letestui,13051309,,Species,70081,173500825,EN,B2ab(iii),2021,5928.9,28,500,0,30/10/2020,"Simo-Droissart, M., Texier, N. & StÈvart, T.","Andriamahefarivo, L., Bidault, E., Ikabanga, D.U., Lachenaud, O. & Paradis, A.-H.",Unknown
1838,Cynometra lujae,13051244,Cynometra lujae De Wild.,Species,70042,173500841,LC,NA,2021,139255.4,NA,350,50,02/04/2021,"Simo-Droissart, M., Andriamahefarivo, L., Texier, N. & StÈvart, T.","Hills, R.",Decreasing
1839,Cynometra mannii,13029691,Cynometra mannii Oliv.,Species,70044,144278111,LC,NA,2019,686910.84,244.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Oldfield, S.",Stable
